id,place_id,nombre,direccion,lat,lon,rating,num_reviews,google_maps_url,tipos,query_origen,barrio
094,ChIJl4zvYgCFP44RSvjyv8igrS0,Dionysos Cocina Griega,"Centro Comercial Santafé, Cl. 185, Bogotá, Colombia",4.7624563,-74.04653619999999,2.5,16.0,https://maps.google.com/?cid=3291463686751975498&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"greek_restaurant, restaurant, food, point_of_interest, establishment",cocina griega Bogotá,Cl. 185
095,ChIJeZ92ZkabP44Rg0bdYdfG0KM,Tapeo Casa República,"Ac. 85 #7 - 74, Bogotá, Colombia",4.6661192,-74.04764589999999,4.2,15.0,https://maps.google.com/?cid=11804153251700229763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"gastropub, bar, restaurant, food, point_of_interest, establishment",tapas bar Bogotá,
096,ChIJe-9XtBubP44RGPo79ytv948,MYTHOS Greek Frozen Yogurt Bogotá,"Cl. 122 #17A-89, Usaquén, Bogotá, Cundinamarca, Colombia",4.7012428,-74.0469395,4.7,12.0,https://maps.google.com/?cid=10373882501293406744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ice_cream_shop, dessert_shop, confectionery, food_store, store, food, point_of_interest, establishment",restaurante griego Bogotá,Usaquén
097,ChIJO3iFxHGbP44RW3DSCRC942M,Gyros Street,"Cl. 73 #9-42, Bogotá, Colombia",4.6574446,-74.05652529999999,4.7,11.0,https://maps.google.com/?cid=7197804506050097243&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"restaurant, food, point_of_interest, establishment",restaurante griego Bogotá,
098,ChIJmdsARQCbP44RM9TlWYRq1Y0,Caserta Pizzeria - Trattoria,"Cl. 95 #68c-15, Bogotá, Colombia",4.6880423,-74.0774665,5.0,9.0,https://maps.google.com/?cid=10220192046063670323&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, food, point_of_interest, establishment",trattoria Bogotá,
099,ChIJ-xJYpuqaP44RM8uhEIjsc-M,Gaviero Tapas Y Bar,"Ac 100 #1973 a 19a-97, Bogotá, Colombia",4.6859608,-74.0544354,4.5,8.0,https://maps.google.com/?cid=16389703538070113075&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"bar, restaurant, food, point_of_interest, establishment",tapas bar Bogotá,
100,ChIJO5G9Yw2bP44RIp2YWji8r1A,Chinita Bar de Tapas,"Ac 116 #53 - 26, Bogotá, Colombia",4.7008947,-74.062409,5.0,7.0,https://maps.google.com/?cid=5814072594182741282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"bar, restaurant, food, point_of_interest, establishment",tapas bar Bogotá,
101,ChIJc8OWfQCbP44RNOmbuVdX9QQ,Restaurante Mediterraneo at Casa Dann Carlton,"Cl 93b, Bogotá, Colombia",4.6805848999999995,-74.0547874,4.8,5.0,https://maps.google.com/?cid=357287779733596468&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"mediterranean_restaurant, restaurant, food, point_of_interest, establishment",mediterranean food Bogotá,
102,ChIJodhLV-ebP44RI4__6hCQglA,Cappelletti trattoria,"111211, Barrios Unidos, Bogotá, Colombia",4.6847275999999995,-74.0617523,3.5,4.0,https://maps.google.com/?cid=5801357672343113507&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"italian_restaurant, restaurant, food, point_of_interest, establishment",trattoria Bogotá,Barrios Unidos
103,ChIJYcvAkfSaP44RJU51MrfeBek,Gyropolys,"Ac. 85 #15-38, Chapinero, Bogotá, Colombia",4.6704482,-74.05560249999999,3.0,3.0,https://maps.google.com/?cid=16791071664127692325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"greek_restaurant, restaurant, food, point_of_interest, establishment",restaurante griego Bogotá,Chapinero
104,ChIJgXjAWK-ZP44RAzOm6mqv-U4,Restaurante & Bar De Tapas,"Cra. 2 #12-48, La Candelaria, Bogotá, Colombia",4.5968137,-74.069988,4.3,3.0,https://maps.google.com/?cid=5690772477897487107&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"food, point_of_interest, establishment",tapas bar Bogotá,La Candelaria
105,ChIJWeX6HQCFP44RXq0eaRhagzY,Teo estiatorio,"Carrera 19 #114-16, Bogotá, Colombia",4.7284979,-74.0648666,,,https://maps.google.com/?cid=3928082360886537566&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"greek_restaurant, restaurant, food, point_of_interest, establishment",restaurante griego Bogotá,
